"","followup_time","survival_treatment","survival_control","survival_difference","survival_ratio"
"1",0,0.997909320019503,0.997575811101731,0.000333508917772618,1.00033431937108
"2",1,0.995797824731806,0.995130984387469,0.000666840344336839,1.00067010308673
"3",2,0.993666023276739,0.992666034006832,0.000999989269906965,1.00100737734107
"4",3,0.991521876582991,0.990190125736544,0.00133175084644643,1.0013449445837
"5",4,0.989358596750777,0.987695463762628,0.00166313298814869,1.00168385200618
"6",5,0.987192371214574,0.985200888346236,0.00199148286833828,1.00202139775948
"7",6,0.984978395236419,0.982655070536265,0.00232332470015406,1.00236433390496
"8",7,0.982694062317255,0.980032820520789,0.00266124179646587,1.00271546191183
"9",8,0.980016835732975,0.976964335092693,0.00305250064028229,1.00312447499938
"10",9,0.976537374592399,0.972996353659699,0.00354102093269981,1.00363929517247
