"Visit","Scenario","CI_type","Coverage","rank","old_rank","coverage_old"
0,1,"LEF_outcome",0.993,1,"LEF_outcome",0.993
0,1,"LEF_both",0.993,1,"LEF_both",0.993
0,1,"Bootstrap",0.967,2,"Bootstrap",0.966
0,1,"Jackknife_Wald",0.951,3,"Jackknife_Wald",0.944
0,1,"Jackknife_MVN",0.887814313346228,4,"Jackknife_MVN",0.882136279926335
0,1,"Sandwich",0.85854189336235,5,"Sandwich",0.836206896551724
1,1,"LEF_outcome",0.99,1,"LEF_outcome",0.992
1,1,"LEF_both",0.99,1,"LEF_both",0.992
1,1,"Jackknife_Wald",0.96,2,"Jackknife_Wald",0.964
1,1,"Bootstrap",0.954,3,"Bootstrap",0.956
1,1,"Jackknife_MVN",0.93036750483559,4,"Jackknife_MVN",0.931860036832412
1,1,"Sandwich",0.871599564744287,5,"Sandwich",0.873922413793103
2,1,"LEF_outcome",0.974,1,"LEF_outcome",0.973
2,1,"LEF_both",0.974,1,"LEF_both",0.973
2,1,"Jackknife_MVN",0.943907156673114,2,"Jackknife_Wald",0.959
2,1,"Jackknife_Wald",0.943,3,"Jackknife_MVN",0.953959484346225
2,1,"Bootstrap",0.927,4,"Bootstrap",0.933
2,1,"Sandwich",0.81936887921654,5,"Sandwich",0.814655172413793
3,1,"Jackknife_MVN",0.955512572533849,1,"Jackknife_MVN",0.965009208103131
3,1,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.958
3,1,"LEF_outcome",0.924,3,"LEF_outcome",0.911
3,1,"LEF_both",0.923,4,"LEF_both",0.91
3,1,"Bootstrap",0.902,5,"Bootstrap",0.888
3,1,"Sandwich",0.76822633297062,6,"Sandwich",0.744612068965517
4,1,"Jackknife_MVN",0.963249516441006,1,"Jackknife_MVN",0.974217311233886
4,1,"Jackknife_Wald",0.944,2,"Jackknife_Wald",0.964
4,1,"LEF_outcome",0.899,3,"LEF_outcome",0.884
4,1,"LEF_both",0.899,3,"Bootstrap",0.88
4,1,"Bootstrap",0.897,4,"LEF_both",0.878
4,1,"Sandwich",0.779107725788901,5,"Sandwich",0.752155172413793
0,2,"LEF_outcome",0.977,1,"LEF_outcome",0.969
0,2,"LEF_both",0.977,1,"LEF_both",0.969
0,2,"Bootstrap",0.949,2,"Bootstrap",0.942
0,2,"Sandwich",0.922190201729107,3,"Sandwich",0.907380607814761
0,2,"Jackknife_Wald",0.919,4,"Jackknife_Wald",0.906
0,2,"Jackknife_MVN",0.890577507598784,5,"Jackknife_MVN",0.875126903553299
1,2,"LEF_outcome",0.98,1,"LEF_outcome",0.963
1,2,"LEF_both",0.98,1,"LEF_both",0.962
1,2,"Jackknife_MVN",0.917933130699088,2,"Jackknife_MVN",0.914720812182741
1,2,"Jackknife_Wald",0.904,3,"Sandwich",0.895803183791606
