"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,1,0,"LEF both",0.993,1,2.14585905743403,1.66337941848259,2.4704241414471,"LEF both",0.991,2.11288947507869,1.61870501698376,2.45966279644596
1,1,0,"LEF outcome",0.993,1,2.14585905739933,1.66337941848259,2.4704241414471,"LEF outcome",0.991,2.11288947503708,1.61870501698376,2.45966279644596
1,1,0,"Bootstrap",0.967,2,0.993340940138437,0.828549827037205,1.16975788969858,"Bootstrap",0.964,0.996580411618961,0.83381970440891,1.17122322097964
1,1,0,"Jackknife Wald",0.951,3,0.976582732765569,0.807347468813515,1.157043235153,"Jackknife Wald",0.943,0.983630404804727,0.810613688831007,1.16702511441691
1,1,0,"Jackknife MVN",0.887814313346228,4,18.1766269348699,2.16436613280408,44.5785273458763,"Jackknife MVN",0.887814313346228,18.1766269348699,2.16436613280408,44.5785273458763
1,1,0,"Sandwich",0.85854189336235,5,1.50545644201567,1.29355165934812,1.72664678093097,"Sandwich",0.85854189336235,1.50545644201567,1.29355165934812,1.72664678093097
1,1,1,"LEF both",0.99,1,1.85578790215657,1.1854718244127,2.37699451216189,"LEF both",0.989,1.83004385019121,1.16847963498205,2.36166097497977
1,1,1,"LEF outcome",0.99,1,1.86967689778588,1.18478002089532,2.4002541494539,"LEF outcome",0.989,1.88615949126143,1.170633044993,2.43697383098157
1,1,1,"Jackknife Wald",0.96,2,0.941866799494803,0.624921704985756,1.12185755751734,"Jackknife Wald",0.948,0.947901556193184,0.632471833120878,1.13410500030915
1,1,1,"Bootstrap",0.954,3,0.94183126985666,0.657600264590034,1.13443787179436,"Bootstrap",0.938,0.945691672783655,0.658700441165708,1.13269287874478
1,1,1,"Jackknife MVN",0.93036750483559,4,12.53041736103,2.48311641981857,19.4606689888632,"Jackknife MVN",0.93036750483559,12.53041736103,2.48311641981857,19.4606689888632
1,1,1,"Sandwich",0.871599564744287,5,1.32531664698901,0.891478336381988,1.67370432412755,"Sandwich",0.871599564744287,1.32531664698901,0.891478336381988,1.67370432412755
1,1,2,"LEF both",0.974,1,1.32358031511656,0.896681651453676,1.61629650543192,"LEF both",0.971,1.30495923681191,0.881347835670711,1.5996480329199
1,1,2,"LEF outcome",0.974,1,1.33330487347979,0.898654596502693,1.62737143664818,"LEF outcome",0.971,1.34436372111236,0.890885282704759,1.64294346407758
1,1,2,"Jackknife MVN",0.943907156673114,2,7.847558007018,3.73396901921945,10.3915175967224,"Jackknife MVN",0.943907156673114,7.847558007018,3.73396901921945,10.3915175967224
1,1,2,"Jackknife Wald",0.943,3,0.903151595864644,0.486700038161846,0.92065885541802,"Jackknife Wald",0.941,0.908861400098063,0.491367274910219,0.92824777040364
1,1,2,"Bootstrap",0.927,4,0.954884568129966,0.535707691262137,1.11693021805802,"Bootstrap",0.921,0.953941790243267,0.537635776320975,1.11920663637859
