"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,1,0,"LEF both",0.992,1,2.2318686857639,1.71714247204097,2.53676254735715,"LEF both",0.993,2.01948359904395,1.51808470752372,2.35270219391478
1,1,0,"LEF outcome",0.992,1,2.23186868583397,1.71714247204097,2.53676254735715,"LEF outcome",0.993,2.01948359904312,1.51808470752372,2.35270219391478
1,1,0,"Bootstrap",0.971,2,1.01838087972108,0.84024272099521,1.19890387829461,"Bootstrap",0.966,0.987947715346692,0.80556600945974,1.17238420367002
1,1,0,"Jackknife Wald",0.96,3,0.997690081862014,0.817386971285014,1.18141495785515,"Jackknife Wald",0.944,0.979252427497243,0.797578263206544,1.17024394854597
1,1,0,"Jackknife MVN",0.889925373134328,4,19.8084471873728,2.19401995187061,45.765043846296,"Jackknife MVN",0.882136279926335,17.3677137449287,2.06208921542262,44.0338588269652
1,1,0,"Sandwich",0.848648648648649,5,1.54139602436359,1.32049919580106,1.77964871261269,"Sandwich",0.836206896551724,1.49354353427981,1.2093197226227,1.69253061690417
1,1,1,"LEF both",0.99,1,2.00166906711362,1.29559794442052,2.4961441972696,"LEF both",0.992,1.8979973744871,1.25298116641124,2.35836543890054
1,1,1,"LEF outcome",0.99,1,2.01333641001037,1.29581851750509,2.50286411524209,"LEF outcome",0.992,1.95074464738237,1.26193717680373,2.42058012922866
1,1,1,"Jackknife Wald",0.973,2,0.996968870138378,0.672265320613718,1.22816172249893,"Jackknife Wald",0.964,1.00911672277154,0.699364934552486,1.2026885607117
1,1,1,"Bootstrap",0.971,3,1.00644286835459,0.710471363424021,1.21427398589889,"Bootstrap",0.956,0.985549893974041,0.709761134860657,1.15286341439967
1,1,1,"Jackknife MVN",0.930970149253731,4,14.4478232896139,3.0352512195772,21.2604278975304,"Jackknife MVN",0.931860036832412,13.1948375710502,2.18380158230574,21.3395453341654
1,1,1,"Sandwich",0.873513513513513,5,1.41442397927786,0.947430220994031,1.78477831927799,"Sandwich",0.873922413793103,1.38432924528873,0.957705340323741,1.64694446707803
1,1,2,"LEF both",0.969,1,1.24530208645905,0.817899270951307,1.49833451219453,"LEF both",0.973,1.30078112888128,0.860542357509581,1.59294006878302
1,1,2,"LEF outcome",0.969,1,1.25275680808126,0.814606161792318,1.50472286431314,"LEF outcome",0.973,1.34548966455459,0.872312634512211,1.64150160720664
1,1,2,"Jackknife Wald",0.966,2,0.901826603395005,0.452699945905514,0.842360767986051,"Jackknife Wald",0.959,1.0168734174322,0.500022786107481,0.953341194706301
1,1,2,"Bootstrap",0.946,3,0.902694135779387,0.485701542741833,1.02348102357149,"Jackknife MVN",0.953959484346225,7.73348013432777,3.61015453321916,10.2275381917314
1,1,2,"Jackknife MVN",0.944029850746269,4,7.54217390400615,3.71855510563427,9.62361008723896,"Bootstrap",0.933,1.00850663351805,0.536107901858676,1.16583770764564
1,1,2,"Sandwich",0.825945945945946,5,0.904485829585897,0.59208295326145,1.0425894641481,"Sandwich",0.814655172413793,0.984308488729115,0.639074316444989,1.12127477842674
1,1,3,"Jackknife Wald",0.954,1,0.878291544694954,0.273318670570502,0.72110121472645,"Jackknife MVN",0.965009208103131,3.22075216496191,2.1952002751856,4.06085503763474
1,1,3,"Jackknife MVN",0.944029850746269,2,3.6999051684767,2.84015913880339,4.58559321437192,"Jackknife Wald",0.958,0.919099315339312,0.256088575549195,0.810153809535881
1,1,3,"LEF both",0.925,3,0.674787773266561,0.465506019436639,0.807126126322022,"LEF outcome",0.911,0.614368643601154,0.410935106942972,0.767688044917163
1,1,3,"LEF outcome",0.925,3,0.677954246856208,0.46659271553519,0.808711272571926,"LEF both",0.91,0.595272077021854,0.40093621016747,0.745842296500272
1,1,3,"Bootstrap",0.895,4,0.721129689711031,0.319048020293261,0.912828046381083,"Bootstrap",0.888,0.724127039743933,0.308836841925825,0.929436584849712
1,1,3,"Sandwich",0.764324324324324,5,0.501677667071636,0.322550235177206,0.588160554585172,"Sandwich",0.744612068965517,0.461085555240522,0.2924967371381,0.539149901815847
1,1,4,"Jackknife MVN",0.973880597014925,1,2.93493821762093,2.02235787507728,3.73348289635031,"Jackknife MVN",0.974217311233886,2.60531984980491,1.67907219031898,3.34680444618309
1,1,4,"Jackknife Wald",0.948,2,0.867900110821252,0.235934017762922,0.741774758359093,"Jackknife Wald",0.964,0.92943630574288,0.226400242451698,0.865102139751522
1,1,4,"LEF both",0.911,3,0.594744863169912,0.39630920961403,0.749773511689998,"LEF outcome",0.884,0.541844378283497,0.349457493580888,0.704211756327021
1,1,4,"LEF outcome",0.911,3,0.597251313419124,0.395793715515606,0.754592841274943,"Bootstrap",0.88,0.702967358956102,0.298286212951626,0.887023817805706
1,1,4,"Bootstrap",0.901,4,0.683108319884148,0.301571007067929,0.894699614305804,"LEF both",0.878,0.526583765181716,0.335937027459897,0.687413812958572
1,1,4,"Sandwich",0.789189189189189,5,0.45162505182655,0.266475238590239,0.580897735077314,"Sandwich",0.752155172413793,0.416746705029861,0.245482062174437,0.541622311156647
1,2,0,"LEF both",0.976,1,2.28231567838119,1.67104506945731,2.63427043972892,"LEF both",0.969,2.24713627199721,1.68769893661866,2.64113134404843
1,2,0,"LEF outcome",0.976,1,2.28231567845453,1.67104506945731,2.63427043972892,"LEF outcome",0.969,2.24713627218534,1.68769893661866,2.64113134404844
1,2,0,"Bootstrap",0.926,2,0.97442673216391,0.791164553477552,1.16602326768308,"Bootstrap",0.942,0.993481672588291,0.799689254980695,1.18322298723498
1,2,0,"Sandwich",0.925925925925926,3,1.64351719225427,1.35253141188876,1.7587641517515,"Sandwich",0.907380607814761,1.63293644610396,1.38818521244177,1.80601249194841
1,2,0,"Jackknife Wald",0.892,4,0.963518462934497,0.762815483854008,1.15494595284415,"Jackknife Wald",0.906,0.980072424400596,0.768260663506229,1.17211986739554
1,2,0,"Jackknife MVN",0.865030674846626,5,18.3552153298774,2.62321634023344,36.0103521299058,"Jackknife MVN",0.875126903553299,19.0573986546446,2.64703506080747,35.9533742534323
1,2,1,"LEF both",0.98,1,1.9674347280959,1.41735230840446,2.47920883857187,"LEF outcome",0.963,1.91409055587668,1.32346283582137,2.39903545855551
1,2,1,"LEF outcome",0.98,1,1.97116107163787,1.41962881182288,2.48986222467002,"LEF both",0.962,1.89054575820131,1.29438291111557,2.37056203628932
1,2,1,"Sandwich",0.917037037037037,2,1.53994305315717,1.11992050852932,1.85821775868543,"Jackknife MVN",0.914720812182741,13.8726990025831,7.54284827263206,17.5108436779031
1,2,1,"Jackknife MVN",0.915132924335378,3,14.3435493932419,7.26805798728333,17.90517131526,"Sandwich",0.895803183791606,1.54192871692967,1.02084612542107,1.83003956637059
1,2,1,"Bootstrap",0.881,4,0.963114716913113,0.64257939412359,1.23182452483956,"Jackknife Wald",0.882,1.02253314809452,0.636393360147255,1.26272016355203
1,2,1,"Jackknife Wald",0.881,4,1.02698341167541,0.637634361217123,1.271541760024,"Bootstrap",0.86,0.936303183033993,0.630578937528949,1.20466815603898
1,2,2,"LEF both",0.946,1,1.33714893723465,0.871679431489941,1.74759449770115,"Jackknife MVN",0.92994923857868,7.94730573694823,6.04365682711431,9.73473642494222
1,2,2,"LEF outcome",0.945,2,1.34021157618433,0.871691248294478,1.74935484746271,"LEF outcome",0.921,1.30689009739539,0.847728996499894,1.70031308545878
1,2,2,"Jackknife MVN",0.924335378323108,3,8.17441857400812,6.53538344329542,10.3048862699128,"LEF both",0.918,1.28387084371179,0.831697356482681,1.66466675098824
1,2,2,"Jackknife Wald",0.866,4,0.960445338459351,0.466236088857515,1.25315057445617,"Jackknife Wald",0.861,0.959175512836087,0.46015436159622,1.2403592377822
