"","followup_time","survival_treatment","survival_control","survival_difference","survival_ratio","survival_treatment_lb","survival_treatment_ub","survival_control_lb","survival_control_ub","survival_difference_lb","survival_difference_ub","survival_ratio_lb","survival_ratio_ub"
"1",0,0.998231449422568,0.999066620617566,-0.000835171194997764,0.99916404854515,0.99716662399917,0.999563165146403,0.997760001512716,0.999896533999724,-0.00169466109243419,0.000286951372250877,0.998303872951213,1.00028744758179
"2",1,0.996088549234202,0.997927743847131,-0.00183919461292836,0.998156986190365,0.993643748060993,0.998733964913455,0.99548111307249,0.999719558466141,-0.00367049325815634,0.000586704692899898,0.996322546918669,1.00058877894547
"3",2,0.993607648894236,0.996599926426394,-0.00299227753215803,0.996997513793837,0.989907842310975,0.997525592795311,0.992457211829848,0.999506608373417,-0.005882337515609,0.000892355471977413,0.99410085599328,1.00089716901025
"4",3,0.99086290056933,0.99512078420635,-0.00425788363701973,0.99572123936652,0.98536517639267,0.996130258223225,0.98991452986435,0.999210164152447,-0.00844334136895094,0.00119844151493842,0.991519893881126,1.001207168914
"5",4,0.988000785039904,0.9935674733972,-0.00556668835729524,0.994397271945446,0.980933144350556,0.994752991653601,0.986907966187493,0.998844676579341,-0.0106750256811496,0.00149499044795198,0.98928247329429,1.00150865602552
"6",5,0.98510226109528,0.991983980416219,-0.00688171932093895,0.993062670913243,0.975970380936588,0.993576312268492,0.984114579027965,0.998523910924925,-0.0139904988707456,0.00178135007874142,0.985947986515228,1.0018008769476
"7",6,0.982220704613764,0.990398847733592,-0.0081781431198279,0.991742576095941,0.97192506814601,0.99260694309964,0.981441918602807,0.998170720981149,-0.0174989473904837,0.00205843344282636,0.982354346126745,1.0020846628675
"8",7,0.979513731253892,0.988897966729603,-0.00938423547571121,0.990510410789147,0.967482169322029,0.991498582141844,0.979607940919458,0.997700258309781,-0.0205960481466827,0.00230412908173927,0.979119309923765,1.00233717298695
"9",8,0.976490536681809,0.98720655937292,-0.0107160226911114,0.989145105865263,0.962838755859026,0.989569535618917,0.977633504640212,0.997119092085277,-0.0237695882229634,0.00256399879637909,0.975846511433563,1.00260531087698
"10",9,0.972568615452316,0.984950298742791,-0.0123816832904758,0.987429128854238,0.957153498633998,0.986180235704075,0.973915950232269,0.996546848885062,-0.0273859230029832,0.00296718377193672,0.972265056539361,1.00302337435203
