"","followup_time","survival_treatment","survival_control","survival_difference","survival_ratio","survival_treatment_lb","survival_treatment_ub","survival_control_lb","survival_control_ub","survival_difference_lb","survival_difference_ub","survival_ratio_lb","survival_ratio_ub"
"1",0,0.999300113345211,0.998014707486927,0.00128540585828418,1.00128796284127,0.9963809115961,1,0.991783641710263,1,-0.002920523616222,0.00755378328115164,0.997079476377478,1.00761394125611
"2",1,0.998902413211007,0.99692014427783,0.00198226893317655,1.00198839289642,0.99528901430084,0.999999999999769,0.990680427837493,1,-0.00429412894278824,0.00837658447883116,0.995705871049555,1.00845722168252
"3",2,0.998620900585891,0.996156336643154,0.00246456394273731,1.00247407344819,0.99387664092694,0.99999999999356,0.989748694519608,0.999999999999999,-0.00612335866546993,0.00889228559022459,0.993876641332142,1.00899215676385
"4",3,0.998372700984012,0.995488362658307,0.00288433832570489,1.00289741039062,0.993972046330644,0.999999999993503,0.988438995678384,0.999999999999999,-0.00602795314494739,0.00972876842845655,0.993972046851813,1.00983580654972
"5",4,0.998101912240691,0.994764034257003,0.00333787798368868,1.00335544698918,0.985941146112316,0.999999999993409,0.987238853071265,0.999999999999996,-0.0140588536173659,0.0108935601186942,0.985941146378934,1.0110275390034
"6",5,0.997744462261553,0.993812567736402,0.00393189452515097,1.00395637432329,0.975746086269061,0.999999999992915,0.985842799770054,0.999999999999454,-0.024253913518258,0.0125669048256646,0.975746086475858,1.01274527711855
"7",6,0.997160381883133,0.99226295060987,0.00489743127326259,1.00493561839657,0.947247351003598,0.999999999992631,0.979239323053237,0.999999999952849,-0.0501775412117297,0.0200420438976759,0.949671738030882,1.02046910154857
"8",7,0.996031035034252,0.989288079521264,0.00674295551298765,1.00681596761608,0.941364783000356,0.999999999991778,0.966661816116831,0.999999999910822,-0.057088278110747,0.0322707722679367,0.942911721853449,1.03338719052432
"9",8,0.993198390320838,0.981980790765189,0.0112175995556492,1.01142344092791,0.930818080982873,0.99999999999073,0.921494840780689,0.999999999886719,-0.064645818226238,0.0737686820229912,0.935025066432694,1.0800437677091
"10",9,0.984123660884461,0.960538757960251,0.0235849029242103,1.02455382745231,0.876006613840777,0.999999999987235,0.787996288604308,0.999999999860541,-0.107051219216699,0.197842252880845,0.8929487727709,1.25106017980331
